StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
,,,,,,Sol,0.0000000000,0.0000000000,0.0000048480,0.0000000000,0.0000000000,,-26.7300000000,4.8500000000,G2V,0.6560000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
70667,70890,,,Gl 551,,Proxima Centauri,14.4965965000,-62.6813520700,1.2947833180,-3775.6400000000,768.1600000000,-16,11.0100000000,15.4490145234,M5Ve,1.8070000000,-0.4717500000,-0.3613200000,-1.1503700000,-0.0000118480,0.0000207750,0.0000167510
71457,71683,128620,5459,Gl 559  A,Alp1Cen,Rigel Kentaurus A,14.6613606800,-60.8351470700,1.3474909718,-3678.1900000000,481.8400000000,-26,-0.0100000000,4.3423706795,G2V,0.7100000000,-0.5036200000,-0.4213900000,-1.1766500000,-0.0000075110,0.0000250420,0.0000249320
71454,71681,128621,5460,Gl 559  B,Alp2Cen,Rigel Kentaurus B,14.6609418800,-60.8394713900,1.3474909718,-3600.3500000000,952.1100000000,-18,1.3500000000,5.7023706795,K1V,0.9000000000,-0.5035900000,-0.4212800000,-1.1767000000,-0.0000123370,0.0000203410,0.0000191950
87666,87937,,,Gl 699,,Barnard's Star,17.9636015300,4.6682881500,1.8214604470,-797.8400000000,10326.9300000000,-111,9.5400000000,13.2379012751,sdM4,1.5700000000,-0.0172900000,-1.8153300000,0.1482400000,-0.0000058950,0.0001206280,0.0000816440
118721,,,,Gl 406,,,10.9450232999,7.0530540845,2.3906287354,-3822.9490000000,-2716.8280000000,13,13.4500000000,16.5574393229,M6,2.0000000000,-2.2826200000,0.6469700000,0.2935400000,-0.0000043320,0.0000472770,-0.0000296140
53879,54035,95735,,Gl 411,,Lalande 21185,11.0557256000,35.9814642400,2.5484199796,-580.2000000000,-4767.0900000000,-84,7.4900000000,10.4586449935,M2V,1.5020000000,-1.9995000000,0.5046200000,1.4972500000,0.0000358500,-0.0000016550,-0.0000983100
118080,,,,Gl  65  A,,,1.6471313828,-17.9575647126,2.6267402154,3312.9460000000,560.3420000000,29,12.5700000000,15.4729143841,dM5.5e,1.8500000000,2.2700300000,1.0444300000,-0.8098500000,0.0000099970,0.0000510360,-0.0000023560
118081,,,,Gl  65  B,,,1.6471313828,-17.9575647126,2.6267402154,3312.9460000000,560.3420000000,32,12.7000000000,15.6029143841,dM5.5e,,2.2700300000,1.0444300000,-0.8098500000,0.0000126480,0.0000522560,-0.0000033020
118442,,,,Gl 244  B,,,6.7530620993,-16.6985306203,2.6370612589,-543.1980000000,-1203.0520000000,,8.4400000000,11.3343989071,DA2,-0.0300000000,-0.4947500000,2.4769200000,-0.7577200000,0.0000076750,-0.0000029730,-0.0000147300
32263,32349,48915,2491,Gl 244  A,9Alp CMa,Sirius,6.7525694000,-16.7131430600,2.6370612589,-546.0100000000,-1223.0800000000,-9,-1.4400000000,1.4543989071,A0m...,0.0090000000,-0.4943900000,2.4768000000,-0.7583600000,0.0000095270,-0.0000120720,-0.0000122100
92116,92403,,,Gl 729,,,18.8302655400,-23.8357645700,2.9719448407,637.5500000000,-192.4700000000,-12,10.3700000000,13.0047962767,M3.5Ve,1.5100000000,0.5862500000,-2.6544900000,-1.2010100000,0.0000062860,0.0000141280,0.0000024640
119586,,,,Gl 905,,,23.6983011506,44.1972548623,3.1685678074,84.2600000000,-1607.7930000000,-78,12.2900000000,14.7856849727,dM6  e,1.9000000000,2.2646000000,-0.1792400000,2.2089000000,-0.0000395290,0.0000044270,-0.0000731030
16496,16537,22049,1084,Gl 144,18Eps Eri,,3.5490060000,-9.4583058400,3.2180209171,-976.4400000000,17.9700000000,17,3.7200000000,6.1820556866,K2V,0.8810000000,1.8999000000,2.5429000000,-0.5288100000,0.0000224340,0.0000045770,-0.0000025630
113688,114046,217987,,Gl 887,,Lacaille 9352,23.0964347200,-35.8562971000,3.2905561040,6767.2600000000,1326.6600000000,10,7.3500000000,9.7636535004,M2/M3V,1.4830000000,2.5926800000,-0.6250000000,-1.9274500000,0.0000450040,0.0001001920,0.0000114600
57376,57548,,,Gl 447,,,11.7955675200,0.8075261700,3.3380065425,605.6200000000,-1219.2300000000,-31,11.1200000000,13.5025640822,M4.5V,1.7460000000,-3.3328900000,0.1785400000,0.0470400000,0.0000309560,-0.0000114720,-0.0000201750
119519,,,,Gl 866  A,,,22.6403752369,-15.3335568562,3.3978933062,2361.3670000000,2233.0340000000,-60,12.6600000000,15.0039513105,M5  e,1.9800000000,3.0715200000,-1.1419400000,-0.8985300000,-0.0000327970,0.0000536910,0.0000517000
103880,104214,201091,8085,Gl 820  A,61    Cyg,,21.1141208300,38.7414944600,3.4827430084,4155.1000000000,3258.9000000000,-65,5.2000000000,7.4903928547,K5V,1.0690000000,1.9773500000,-1.8625900000,2.1795200000,-0.0000145890,0.0001101160,0.0000014410
118494,,,,Gl 280  B,,,7.6556564989,5.2410169461,3.4973594936,-702.3430000000,-1021.9160000000,,10.7000000000,12.9812986213,DA,,-1.4627600000,3.1606600000,0.3194600000,0.0000101410,0.0000064370,-0.0000172530
